id,CODCIE10,DescripcionCIE10,Grupo
1363,C770,"TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA CABEZA, CARA Y CUELLO",Neoplasias
1364,C771,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS INTRATORACICOS,Neoplasias
1365,C772,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS INTRAABDOMINALES,Neoplasias
1366,C773,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA AXILA Y DEL MIEMBRO SUPERIOR,Neoplasias
1367,C774,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA REGION INGUINAL Y DEL MIEMBRO INFERIOR,Neoplasias
1368,C775,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA PELVIS,Neoplasias
1369,C778,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE REGIONES MULTIPLES,Neoplasias
1370,C779,"TUMOR MALIGNO DEL GANGLIO LINFATICO, SITIO NO ESPECIFICADO",Neoplasias
1371,C78,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS,Neoplasias
1372,C780,TUMOR MALIGNO SECUNDARIO DEL PULMON,Neoplasias
1373,C781,TUMOR MALIGNO SECUNDARIO DEL MEDIASTINO,Neoplasias
1374,C782,TUMOR MALIGNO SECUNDARIO DE LA PLEURA,Neoplasias
1375,C783,TUMOR MALIGNO SECUNDARIO DE OTROS ORGANOS RESPIRATORIOS Y DE LOS NO ESPECIFICADOS,Neoplasias
1376,C784,TUMOR MALIGNO SECUNDARIO DEL INTESTINO DELGADO,Neoplasias
1377,C785,TUMOR MALIGNO SECUNDARIO DEL INTESTINO GRUESO Y DEL RECTO,Neoplasias
1378,C786,TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO,Neoplasias
1379,C787,TUMOR MALIGNO SECUNDARIO DEL HIGADO,Neoplasias
1380,C788,TUMOR MALIGNO SECUNDARIO DE OTROS ORGANOS DIGESTIVOS Y DE LOS NO ESPECIFICADOS,Neoplasias
1381,C79,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS,Neoplasias
1382,C790,TUMOR MALIGNO SECUNDARIO DEL RIÑON Y DE LA PELVIS RENAL,Neoplasias
1383,C791,"TUMOR MALIGNO SECUNDARIO DE LA VEJIGA, Y DE OTROS ORGANOS Y LOS NO ESPECIFICADOS DE LAS VIAS URINARIAS",Neoplasias
1384,C792,TUMOR MALIGNO SECUNDARIO DE LA PIEL,Neoplasias
1385,C793,TUMOR MALIGNO SECUNDARIO DEL ENCEFALO Y DE LAS MENINGES CEREBRALES,Neoplasias
1386,C794,TUMOR MALIGNO SECUNDARIO DE OTRAS PARTES DEL SISTEMA NERVIOSO Y DE LAS NO ESPECIFICADAS,Neoplasias
1387,C795,TUMOR MALIGNO SECUNDARIO DE LOS HUESOS Y DE LA MEDULA OSEA,Neoplasias
1388,C796,TUMOR MALIGNO SECUNDARIO DEL OVARIO,Neoplasias
1389,C797,TUMOR MALIGNO SECUNDARIO DE LA GLANDULA SUPRARRENAL,Neoplasias
1390,C798,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS ESPECIFICADOS,Neoplasias
1391,C80,TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS,Neoplasias
1392,C80,TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS,Neoplasias
1393,C81,ENFERMEDAD DE HODGKIN,Neoplasias
1394,C810,ENFERMEDAD DE HODGKIN CON PREDOMINIO LINFOCITICO,Neoplasias
1395,C811,ENFERMEDAD DE HODGKIN CON ESCLEROSIS NODULAR,Neoplasias
1396,C812,ENFERMEDAD DE HODGKIN CON CELULARIDAD MIXTA,Neoplasias
1397,C813,ENFERMEDAD DE HODGKIN CON DEPLECION LINFOCITICA,Neoplasias
1398,C817,OTROS TIPOS DE ENFERMEDAD DE HODGKIN,Neoplasias
1399,C819,"ENFERMEDAD DE HODGKIN, NO ESPECIFICADA",Neoplasias
1400,C82,LINFOMA NO HODGKIN FOLICULAR [ NODULAR ],Neoplasias
1401,C820,"LINFOMA NO HODGKIN DE CELULAS PEQUEÑAS HENDIDAS, FOLICULAR",Neoplasias
1402,C821,"LINFOMA NO HODGKIN MIXTO, DE PEQUEÑAS CELULAS HENDIDAS Y DE GRANDES CELULAS, FOLICULAR",Neoplasias
1403,C822,"LINFOMA NO HODGKIN DE CELULAS GRANDES, FOLICULAR",Neoplasias
1404,C827,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO HODGKIN FOLICULAR,Neoplasias
1405,C829,"LINFOMA NO HODGKIN FOLICULAR, SIN OTRA ESPECIFICACION",Neoplasias
1406,C83,LINFOMA NO-HODGKIN DIFUSO,Neoplasias
1407,C830,LINFOMA NO HODGKIN DE CELULAS PEQUEÑAS (DIFUSO),Neoplasias
1408,C831,LINFOMA NO HODGKIN DE CELULAS PEQUEÑAS HENDIDAS (DIFUSO),Neoplasias
1409,C832,"LINFOMA NO HODGKIN MIXTO, DE CELULAS PEQUEÑAS Y GRANDES (DIFUSO)",Neoplasias
1410,C833,LINFOMA NO HODGKIN DE CELULAS GRANDES (DIFUSO),Neoplasias
1411,C834,LINFOMA NO HODGKIN INMUNOBLASTICO (DIFUSO),Neoplasias
1412,C835,LINFOMA NO HODGKIN LINFOBLASTICO (DIFUSO),Neoplasias
1413,C836,LINFOMA NO HODGKIN INDIFERENCIADO (DIFUSO),Neoplasias
1414,C837,TUMOR DE BURKITT,Neoplasias
1415,C838,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO HODGKIN DIFUSO,Neoplasias
1416,C839,"LINFOMA NO HODGKIN DIFUSO, SIN OTRA ESPECIFICACION",Neoplasias
1417,C84,"LINFOMA CELULAS T, PERIFERICO Y CUTANEO",Neoplasias
1418,C840,MICOSIS FUNGOIDE,Neoplasias
1419,C841,ENFERMEDAD DE SEZARY,Neoplasias
1420,C842,LINFOMA DE ZONA T,Neoplasias
1421,C843,LINFOMA LINFOEPITELIOIDE,Neoplasias
1422,C844,LINFOMA DE CELULAS T PERIFERICO,Neoplasias
1423,C845,OTROS LINFOMAS DE CELULAS Y LOS NO ESPECIFICADOS,Neoplasias
1424,C85,LINFOMA NO HODGKIN DE OTRO TIPO Y EL NO ESPECIFICADO,Neoplasias
1425,C850,LINFOSARCOMA,Neoplasias
1426,C851,"LINFOMA DE CELULAS B, SIN OTRA ESPECIFICACION",Neoplasias
1427,C857,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO HODGKIN,Neoplasias
1428,C859,"LINFOMA NO HODGKIN, NO ESPECIFICADO",Neoplasias
1429,C88,ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS,Neoplasias
1430,C880,MACROGLOBULINEMIA DE WALDENSTROM,Neoplasias
1431,C881,ENFERMEDAD DE CADENA PESADA ALFA,Neoplasias
1432,C882,ENFERMEDAD DE CADENA PESADA GAMMA,Neoplasias
1433,C883,ENFERMEDAD INMUNOPROLIFERATIVA DEL INTESTINO DELGADO,Neoplasias
1434,C887,OTRAS ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS,Neoplasias
1435,C889,"ENFERMEDAD INMUNOPROLIFERATIVA MALIGNA, SIN OTRA ESPECIFICACION",Neoplasias
1436,C90,MIELOMA MULTIPLES Y TUMORES MALIGNOS DE CELULAS PLASMATICAS,Neoplasias
1437,C900,MIELOMA MULTIPLE,Neoplasias
1438,C901,LEUCEMIA DE CELULAS PLASMATICAS,Neoplasias
1439,C902,"PLASMOCITOMA, EXTRAMEDULAR",Neoplasias
1440,C91,LEUCEMIA LINFOIDE,Neoplasias
1441,C910,LEUCEMIA LINFOBLASTICA AGUDA,Neoplasias
1442,C911,LEUCEMIA LINFOCITICA CRONICA,Neoplasias
1443,C912,LEUCEMIA LINFOCITICA SUBAGUDA,Neoplasias
1444,C913,LEUCEMIA PROLINFOCITICA,Neoplasias
1445,C914,LEUCEMIA DE CELULAS VELLOSAS,Neoplasias
1446,C915,LEUCEMIA DE CELULAS T ADULTAS,Neoplasias
1447,C917,OTRAS LEUCEMIAS LINFOIDES,Neoplasias
1448,C919,"LEUCEMIA LINFOIDE, SIN OTRA ESPECIFICACION",Neoplasias
1449,C92,LEUCEMIA MIELOIDE,Neoplasias
1450,C920,LEUCEMIA MIELOIDE AGUDA,Neoplasias
1451,C921,LEUCEMIA MIELOIDE CRONICA,Neoplasias
1452,C922,LEUCEMIA MIELOIDE SUBAGUDA,Neoplasias
1453,C923,SARCOMA MIELOIDE,Neoplasias
1454,C924,LEUCEMIA PROMIELOCITICA AGUDA,Neoplasias
1455,C925,LEUCEMIA MIELOMONOCITICA AGUDA,Neoplasias
1456,C927,OTRAS LEUCEMIAS MIELOIDES,Neoplasias
1457,C929,"LEUCEMIA MIELOIDE, SIN OTRA ESPECIFICACION",Neoplasias
1458,C93,LEUCEMIA MONOCITICA,Neoplasias
1459,C930,LEUCEMIA MONOCITICA AGUDA,Neoplasias
1460,C931,LEUCEMIA MONOCITICA CRONICA,Neoplasias
1461,C932,LEUCEMIA MONOCITICA SUBAGUDA,Neoplasias
1462,C937,OTRAS LEUCEMIAS MONOCITICAS,Neoplasias
1463,C939,"LEUCEMIA MONOCITICA, SIN OTRA ESPECIFICACION",Neoplasias
1464,C94,OTRAS LEUCEMIAS DE TIPO CELULAR ESPECIFICADO,Neoplasias
1465,C940,ERITREMIA AGUDA Y ERITROLEUCEMIA,Neoplasias
1466,C941,ERITREMIA CRONICA,Neoplasias
1467,C942,LEUCEMIA MEGACARIOBLASTICA AGUDA,Neoplasias
1468,C943,LEUCEMIA DE MASTOCITOS,Neoplasias
1469,C944,PANMIELOSIS AGUDA,Neoplasias
1470,C945,MIELOFIBROSIS AGUDA,Neoplasias
1471,C947,OTRAS LEUCEMIAS ESPECIFICADAS,Neoplasias
1472,C95,LEUCEMIA DE CELULAS DE TIPO NO ESPECIFICADO,Neoplasias
1473,C950,"LEUCEMIA AGUDA, CELULAS DE TIPO NO ESPECIFICADO",Neoplasias
1474,C951,"LEUCEMIA CRONICA, CELULAS DE TIPO NO ESPECIFICADO",Neoplasias
1475,C952,"LEUCEMIA SUBAGUDA, CELULAS DE TIPO NO ESPECIFICADO",Neoplasias
1476,C957,OTRAS LEUCEMIAS DE CELULAS DE TIPO NO ESPECIFICADO,Neoplasias
1477,C959,"LEUCEMIA, NO ESPECIFICADA",Neoplasias
1478,C96,"OTROS TUMORES MALIGNOS Y LOS NO ESPECIFICADOS DEL TEJIDO LINFATICO, DE LOS ORGANOS HEMATOPOYETICOS Y DE TEJIDOS AFINES",Neoplasias
1479,C960,ENFERMEDAD DE LETTERER-SIWE,Neoplasias
1480,C961,HISTIOCITOSIS MALIGNA,Neoplasias
1481,C962,TUMOR MALIGNO DE MASTOCITOS,Neoplasias
1482,C963,LINFOMA HISTIOCITICO VERDADERO,Neoplasias
1483,C967,"OTROS TUMORES MALIGNOS ESPECIFICADOS DEL TEJIDO LINFATICO, HEMATOPOYETICO Y TEJIDOS AFINES",Neoplasias
1484,C969,"TUMOR MALIGNO DEL TEJIDO LINFATICO, HEMATOPOYETICO Y TEJIDOS AFINES, SIN OTRA ESPECIFICACION",Neoplasias
1485,C97,TUMORES MALIGNO (PRIMARIOS) DE SITIOS MULTIPLES INDEPENDIENTES,Neoplasias
1486,C97,TUMORES MALIGNOS ( PRIMARIOS ) DE SITIOS MULTIPLES INDEPENDIENTES,Neoplasias
1487,D00,"CARCINOMA IN SITU DE LA CAVIDAD BUCAL, DEL ESOFAGO Y DEL ESTOMAGO",Neoplasias
1488,D000,"CARCINOMA IN SITU DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA FARINGE",Neoplasias
1489,D001,CARCINOMA IN SITU DEL ESOFAGO,Neoplasias
1490,D002,CARCINOMA IN SITU DEL ESTOMAGO,Neoplasias
1491,D01,CARCINOMA IN SITU DE OTROS ORGANOS DIGESTIVOS Y DE LOS NO ESPECIFICADOS,Neoplasias
1492,D010,CARCINOMA IN SITU DEL COLON,Neoplasias
1493,D011,CARCINOMA IN SITU DE LA UNION RECTOSIGMOIDEA,Neoplasias
1494,D012,CARCINOMA IN SITU DEL RECTO,Neoplasias
1495,D013,CARCINOMA IN SITU DEL ANO Y DEL CONDUCTO ANAL,Neoplasias
1496,D014,CARCINOMA IN SITU DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL INTESTINO,Neoplasias
1497,D015,"CARCINOMA IN SITU DEL HIGADO, DE LA VESICULA BILIAR Y DEL CONDUCTO BILIAR",Neoplasias
1498,D017,CARCINOMA IN SITU DE OTRAS PARTES ESPECIFICADAS DE ORGANOS DIGESTIVOS,Neoplasias
1499,D019,CARCINOMA IN SITU DE ORGANOS DIGESTIVOS NO ESPECIFICADOS,Neoplasias
1500,D02,CARCINOMA IN SITU DEL SISTEMA RESPIRATORIO Y DEL OIDO MEDIO,Neoplasias
1501,D020,CARCINOMA IN SITU DE LA LARINGE,Neoplasias
1502,D021,CARCINOMA IN SITU DE LA TRAQUEA,Neoplasias
1503,D022,CARCINOMA IN SITU DEL BRONQUIO Y DEL PULMON,Neoplasias
1504,D023,CARCINOMA IN SITU DE OTRAS PARTES DEL SISTEMA RESPIRATORIO,Neoplasias
1505,D024,CARCINOMA IN SITU DE ORGANOS RESPIRATORIOS NO ESPECIFICADOS,Neoplasias
1506,D03,MELANOMA IN SITU,Neoplasias
1507,D030,MELANOMA IN SITU DEL LABIO,Neoplasias
1508,D031,MELANOMA IN SITU DEL PARPADO Y DE LA COMISURA PALPEBRAL,Neoplasias
1509,D032,MELANOMA IN SITU DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO,Neoplasias
1510,D033,MELANOMA IN SITU DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA,Neoplasias
1511,D034,MELANOMA IN SITU DEL CUERO CABELLUDO Y DEL CUELLO,Neoplasias
1512,D035,MELANOMA IN SITU DEL TRONCO,Neoplasias
1513,D036,"MELANOMA IN SITU DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO",Neoplasias
1514,D037,"MELANOMA IN SITU DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA",Neoplasias
1515,D038,MELANOMA IN SITU DE OTROS SITIOS,Neoplasias
1516,D039,"MELANOMA IN SITU, SITIO NO ESPECIFICADO",Neoplasias
1517,D04,CARCINOMA IN SITU DE LA PIEL,Neoplasias
1518,D040,CARCINOMA IN SITU DE LA PIEL DEL LABIO,Neoplasias
1519,D041,CARCINOMA IN SITU DE LA PIEL DEL PARPADO Y DE LA COMISURA PALPEBRAL,Neoplasias
1520,D042,CARCINOMA IN SITU DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO,Neoplasias
1521,D043,CARCINOMA IN SITU DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA,Neoplasias
1522,D044,CARCINOMA IN SITU DE LA PIEL DEL CUERO CABELLUDO Y CUELLO,Neoplasias
1523,D045,CARCINOMA IN SITU DE LA PIEL DEL TRONCO,Neoplasias
1524,D046,"CARCINOMA IN SITU DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO",Neoplasias
1525,D047,"CARCINOMA IN SITU DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA",Neoplasias
1526,D048,CARCINOMA IN SITU DE LA PIEL DE OTROS SITIOS ESPECIFICADOS,Neoplasias
1527,D049,"CARCINOMA IN SITU DE LA PIEL, SITIO NO ESPECIFICADO",Neoplasias
1528,D05,CARCINOMA IN SITU DE LA MAMA,Neoplasias
1529,D050,CARCINOMA IN SITU LOBULAR,Neoplasias
1530,D051,CARCINOMA IN SITU INTRACANALICULAR,Neoplasias
1531,D057,OTROS CARCINOMAS IN SITU DE LA MAMA,Neoplasias
1532,D059,"CARCINOMA IN SITU DE LA MAMA, PARTE NO ESPECIFICADA",Neoplasias
1533,D06,CARCINOMA IN SITU DEL CUELLO DEL UTERO,Neoplasias
1534,D060,CARCINOMA IN SITU DEL ENDOCERVIX,Neoplasias
1535,D061,CARCINOMA IN SITU DEL EXOCERVIX,Neoplasias
1536,D067,CARCINOMA IN SITU DE OTRAS PARTES ESPECIFICADAS DEL CUELLO DEL UTERO,Neoplasias
1537,D069,"CARCINOMA IN SITU DEL CUELLO DEL UTERO, PARTE NO ESPECIFICADA",Neoplasias
1538,D07,CARCINOMA IN SITU DE OTROS ORGANOS GENITALES Y DE LOS NO ESPECIFICADOS,Neoplasias
1539,D070,CARCINOMA IN SITU DEL ENDOMETRIO,Neoplasias
1540,D071,CARCINOMA IN SITU DE LA VULVA,Neoplasias
1541,D072,CARCINOMA IN SITU DE LA VAGINA,Neoplasias
1542,D073,CARCINOMA IN SITU DE OTROS SITIOS DE ORGANOS GENITALES FEMENINOS Y DE LOS NO ESPECIFICADOS,Neoplasias
1543,D074,CARCINOMA IN SITU DEL PENE,Neoplasias
1544,D075,CARCINOMA IN SITU DE LA PROSTATA,Neoplasias
1545,D076,CARCINOMA IN SITU DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS,Neoplasias
1546,D09,CARCINOMA IN SITU DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS,Neoplasias
1547,D090,CARCINOMA IN SITU DE LA VEJIGA,Neoplasias
1548,D091,CARCINOMA IN SITU DE OTROS ORGANOS URINARIOS Y DE LOS NO ESPECIFICADOS,Neoplasias
1549,D092,CARCINOMA IN SITU DEL OJO,Neoplasias
1550,D093,CARCINOMA IN SITU DE LA GLANDULA TIROIDES Y DE OTRAS GLANDULAS ENDOCRINAS,Neoplasias
1551,D097,CARCINOMA IN SITU DE OTROS SITIOS ESPECIFICADOS,Neoplasias
1552,D099,"CARCINOMA IN SITU, SITIO NO ESPECIFICADO",Neoplasias
1553,D10,TUMOR BENIGNO DE LA BOCA Y DE LA FARINGE,Neoplasias
1554,D100,TUMOR BENIGNO DEL LABIO,Neoplasias
1555,D101,TUMOR BENIGNO DE LA LENGUA,Neoplasias
1556,D102,TUMOR BENIGNO DEL PISO DE LA BOCA,Neoplasias
1557,D103,TUMOR BENIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA,Neoplasias
1558,D104,TUMOR BENIGNO DE LA AMIGDALA,Neoplasias
1559,D105,TUMOR BENIGNO DE OTRAS PARTES DE LA OROFARINGE,Neoplasias
1560,D106,TUMOR BENIGNO DE LA NASOFARINGE,Neoplasias
1561,D107,TUMOR BENIGNO DE LA HIPOFARINGE,Neoplasias
1562,D109,"TUMOR BENIGNO DE LA FARINGE, PARTE NO ESPECIFICADA",Neoplasias
1563,D11,TUMOR BENIGNO DE LAS GLANDULAS SALIVARES MAYORES,Neoplasias
1564,D110,TUMOR BENIGNO DE LA GLANDULA PAROTIDA,Neoplasias
1565,D117,TUMOR BENIGNO DE OTRAS GLANDULAS SALIVALES MAYORES ESPECIFICADAS,Neoplasias
1566,D119,"TUMOR BENIGNO DE LA GLANDULA SALIVAL MAYOR, SIN OTRA ESPECIFICACION",Neoplasias
1567,D12,"TUMOR BENIGNO DEL COLON, DEL RECTO, DEL CONDUCTO ANAL Y DEL ANO",Neoplasias
1568,D120,TUMOR BENIGNO DEL CIEGO,Neoplasias
1569,D121,TUMOR BENIGNO DEL APENDICE,Neoplasias
1570,D122,TUMOR BENIGNO DEL COLON ASCENDENTE,Neoplasias
1571,D123,TUMOR BENIGNO DEL COLON TRANSVERSO,Neoplasias
1572,D124,TUMOR BENIGNO DEL COLON DESCENDENTE,Neoplasias
1573,D125,TUMOR BENIGNO DEL COLON SIGMOIDE,Neoplasias
1574,D126,"TUMOR BENIGNO DEL COLON, PARTE NO ESPECIFICADA",Neoplasias
1575,D127,TUMOR BENIGNO DE LA UNION RECTOSIGMOIDEA,Neoplasias
1576,D128,TUMOR BENIGNO DEL RECTO,Neoplasias
1577,D129,TUMOR BENIGNO DEL CONDUCTO ANAL Y DEL ANO,Neoplasias
1578,D13,TUMOR BENIGNO DE OTRAS PARTES Y DE LAS MAL DEFINIDAS DEL SISTEMA DIGESTIVO,Neoplasias
1579,D130,TUMOR BENIGNO DEL ESOFAGO,Neoplasias
1580,D131,TUMOR BENIGNO DEL ESTOMAGO,Neoplasias
1581,D132,TUMOR BENIGNO DEL DUODENO,Neoplasias
1582,D133,TUMOR BENIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL INTESTINO DELGADO,Neoplasias
1583,D134,TUMOR BENIGNO DEL HIGADO,Neoplasias
1584,D135,TUMOR BENIGNO DE LAS VIAS BILIARES EXTRAHEPATICAS,Neoplasias
1585,D136,TUMOR BENIGNO DEL PANCREAS,Neoplasias
1586,D137,TUMOR BENIGNO DEL PANCREAS ENDOCRINO,Neoplasias
1587,D139,TUMOR BENIGNO DE SITIOS MAL DEFINIDOS DEL SISTEMA DIGESTIVO,Neoplasias
1588,D14,TUMOR BENIGNO DEL OIDO MEDIO Y DEL SISTEMA RESPIRATORIO,Neoplasias
1589,D140,"TUMOR BENIGNO DEL OIDO MEDIO, DE LA CAVIDAD NASAL Y DE LOS SENOS PARANASALES",Neoplasias
1590,D141,TUMOR BENIGNO DE LA LARINGE,Neoplasias
1591,D142,TUMOR BENIGNO DE LA TRAQUEA,Neoplasias
1592,D143,TUMOR BENIGNO DE LOS BRONQUIOS Y DEL PULMON,Neoplasias
1593,D144,"TUMOR BENIGNO DEL SISTEMA RESPIRATORIO, SITIO NO ESPECIFICADO",Neoplasias
1594,D15,TUMOR BENIGNO DE OTROS ORGANOS INTRATORACICOS Y DE LOS NO ESPECIFICADOS,Neoplasias
1595,D150,TUMOR BENIGNO DEL TIMO,Neoplasias
1596,D151,TUMOR BENIGNO DEL CORAZON,Neoplasias
1597,D152,TUMOR BENIGNO DEL MEDIASTINO,Neoplasias
1598,D157,TUMOR BENIGNO DE OTROS ORGANOS INTRATORACICOS ESPECIFICADOS,Neoplasias
1599,D159,TUMOR BENIGNO DE ORGANO INTRATORACICO NO ESPECIFICADO,Neoplasias
1600,D16,TUMOR BENIGNO DEL HUESO Y DEL CARTILAGO ARTICULAR,Neoplasias
1601,D160,TUMOR BENIGNO DEL OMOPLATO Y HUESOS LARGOS DEL MIEMBRO SUPERIOR,Neoplasias
1602,D161,TUMOR BENIGNO DE LOS HUESOS CORTOS DEL MIEMBRO SUPERIOR,Neoplasias
1603,D162,TUMOR BENIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR,Neoplasias
1604,D163,TUMOR BENIGNO DE LOS HUESOS CORTOS DEL MIEMBRO INFERIOR,Neoplasias
1605,D164,TUMOR BENIGNO DE LOS HUESOS DEL CRANEO Y DE LA CARA,Neoplasias
1606,D165,TUMOR BENIGNO DEL MAXILAR INFERIOR,Neoplasias
1607,D166,TUMOR BENIGNO DE LA COLUMNA VERTEBRAL,Neoplasias
1608,D167,"TUMOR BENIGNO DE LAS COSTILLAS, ESTERNON Y CLAVICULA",Neoplasias
1609,D168,"TUMOR BENIGNO DE LOS HUESOS PELVICOS, SACRO Y COCCIX",Neoplasias
1610,D169,"TUMOR BENIGNO DEL HUESOS Y DEL CARTILAGO ARTICULAR, SITIO NO ESPECIFICADO",Neoplasias
1611,D17,TUMORES BENIGNOS LIPOMATOSOS,Neoplasias
1612,D170,"TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE CABEZA, CARA Y CUELLO",Neoplasias
1613,D171,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DEL TRONCO,Neoplasias
1614,D172,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE MIEMBROS,Neoplasias
1615,D173,TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS,Neoplasias
1616,D174,TUMOR BENIGNO LIPOMATOSO DE LOS ORGANOS INTRATORACICOS,Neoplasias
1617,D175,TUMOR BENIGNO LIPOMATOSO DE LOS ORGANOS INTRAABDOMINALES,Neoplasias
1618,D176,TUMOR BENIGNO LIPOMATOSO DEL CORDON ESPERMATICO,Neoplasias
1619,D177,TUMOR BENIGNO LIPOMATOSO DE OTROS SITIOS ESPECIFICADOS,Neoplasias
1620,D179,"TUMOR BENIGNO LIPOMATOSO, DE SITIO NO ESPECIFICADO",Neoplasias
1621,D18,HEMANGIOMA Y LINFANGIOMA DE CUALQUIER SITIO,Neoplasias
1622,D180,"HEMANGIOMA, DE CUALQUIER SITIO",Neoplasias
1623,D181,"LINFANGIOMA, DE CUALQUIER SITIO",Neoplasias
1624,D19,TUMOR BENIGNO DEL TEJIDO MESOTELIAL,Neoplasias
1625,D190,TUMOR BENIGNO DEL TEJIDO MESOTELIAL DE LA PLEURA,Neoplasias
1626,D191,TUMOR BENIGNO DEL TEJIDO MESOTELIAL DEL PERITONEO,Neoplasias
1627,D197,TUMOR BENIGNO DEL TEJIDO MESOTELIAL DE OTROS SITIOS ESPECIFICADOS,Neoplasias
1628,D199,"TUMOR BENIGNO DEL TEJIDO MESOTELIAL, DE SITIO NO ESPECIFICADO",Neoplasias
1629,D20,TUMOR BENIGNO DEL TEJIDO BLANDO DEL PERITONEO Y DEL RETROPERITONEO,Neoplasias
1630,D200,TUMOR BENIGNO DEL RETROPERITONEO,Neoplasias
1631,D201,TUMOR BENIGNO DEL PERITONEO,Neoplasias
1632,D21,OTROS TUMORES BENIGNOS DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO,Neoplasias
1633,D210,"TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DE CABEZA, CARA Y CUELLO",Neoplasias
1634,D211,"TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO",Neoplasias
1635,D212,"TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL MIEMBRO INFERIOR, INCLUIDO LA CADERA",Neoplasias
1636,D213,TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL TORAX,Neoplasias
1637,D214,TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL ABDOMEN,Neoplasias
1638,D215,TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DE LA PELVIS,Neoplasias
1639,D216,"TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL TRONCO, SIN OTRA ESPECIFICACION",Neoplasias
1640,D219,"TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS, DE SITIO NO ESPECIFICADO",Neoplasias
1641,D22,NEVO MELANOCITICO,Neoplasias
1642,D220,NEVO MELANOCITICO DEL LABIO,Neoplasias
1643,D221,"NEVO MELANOCITICO DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL",Neoplasias
1644,D222,NEVO MELANOCITICO DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO,Neoplasias
1645,D223,NEVO MELANOCITICO DE OTRAS PARTES DE LAS NO ESPECIFICADAS DE LA CARA,Neoplasias
1646,D224,NEVO MELANOCITICO DEL CUERO CABELLUDO Y DEL CUELLO,Neoplasias
1647,D225,NEVO MELANOCITICO DEL TRONCO,Neoplasias
1648,D226,"NEVO MELANOCITICO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO",Neoplasias
